DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
9875401,small molecule,FALSE,N,1.74,-4.6,435.881,435.0655691,88.18,104.74,43.41,5,5,1,13.6,-1.6,0,4,T
9926791,small molecule,FALSE,N,1.58,-3,312.3696,312.1698593,88.91,87.8,32.65,3,5,1,8.46,7.13,1,3,T
10096344,small molecule,FALSE,Y,2.62,-4,472.5422,472.2335222,113.48,133.43,51.97,5,7,1,,9.86,1,5,T
10113978,small molecule,TRUE,Y,3.59,-4,437.518,437.1633937,119.03,132.18,45.41,5,7,2,10.41,5.07,0,4,T
10182969,small molecule,FALSE,Y,2.22,-3.8,459.4971,459.1906543,110.76,126.9,49.62,5,5,1,13.12,-1.6,0,5,T
10184653,small molecule,FALSE,Y,3.77,-4.6,485.938,485.1629956,88.61,131.38,50.07,8,7,2,12.49,8.81,1,4,T
10324367,small molecule,FALSE,Y,1.93,-4.3,519.6767,519.3420696,150.7,138.2,56.55,10,5,4,12.44,-0.91,0,3,T
10482134,small molecule,TRUE,Y,6.41,-7,530.6512,530.2668389,78.9,149.74,60.16,20,3,0,,-6.6,0,3,T
11167602,small molecule,FALSE,Y,4.53,-5.7,482.815,482.0768809,92.35,114.73,41.23,6,3,3,10.52,2.02,0,3,T
11238823,small molecule,FALSE,Y,4.94,-4.9,568.5336,568.1594138,139.57,149.52,57.73,10,7,1,9.21,1.75,0,6,T
11243969,small molecule,FALSE,Y,0.88,-2.1,315.41,315.1946771,90.35,83.99,34.22,2,4,2,14.74,7.9,1,5,T
11450633,small molecule,FALSE,Y,0.66,-2.8,339.3916,339.1695249,93.67,104.26,35.44,3,5,1,,9.47,1,3,T
11556711,small molecule,FALSE,Y,3.21,-5.2,719.9099,719.4257992,158.47,198.02,79.44,20,8,4,11.91,4.96,0,4,T
11626560,small molecule,TRUE,Y,3.82,-4.9,450.337,449.118544,77.99,128.43,45.43,5,5,2,,10.12,1,4,T
11707110,small molecule,FALSE,Y,3.45,-4.3,615.3948,615.0778759,102.06,156.38,55.43,5,5,2,12.6,-3.7,0,5,T
15951529,small molecule,FALSE,Y,3.75,-5.5,464.436,464.0930093,76.44,113.48,42.71,4,3,1,13.05,-1.7,0,3,T
16004692,small molecule,FALSE,Y,3.05,-4.9,588.273,585.9633491,128.22,126.98,50.55,9,9,2,7.76,2.26,0,3,T
16129704,small molecule,FALSE,N,-0.76,-4.7,2180.2853,2178.985813,901.57,543.33,215.46,66,37,28,2.79,11.88,-4,6,T
16220172,small molecule,FALSE,Y,5,-5.3,392.4907,392.2099928,78.43,118.68,43.04,4,4,3,6.57,-0.95,-1,3,T
24776445,small molecule,FALSE,Y,4.22,-5.4,421.297,420.0102184,76.13,107.81,39.49,4,4,1,10.27,3.7,0,3,T
24812758,small molecule,FALSE,Y,3.09,-5,444.516,444.1406728,90.15,116.14,46.5,5,5,4,12.57,-3,0,4,T
24826799,small molecule,FALSE,Y,3.94,-5.3,532.5595,532.2198441,65.77,152.63,55.69,7,5,1,11.36,8.03,1,5,T
25077649,small molecule,FALSE,Y,1.21,-4.9,1322.4713,1321.635626,472.13,357.8,137.29,33,17,17,9.49,11.92,1,8,T
42611257,small molecule,FALSE,Y,4.95,-6.1,489.922,489.0725463,91.92,121.97,48.1,6,4,2,7.17,3.2,0,4,T
44462760,small molecule,FALSE,Y,5.44,-5.2,519.562,519.1010509,110.86,127.51,49.71,5,6,2,7.16,2.91,0,4,T
54671203,small molecule,TRUE,Y,-0.72,-2.9,444.4346,444.1532658,181.62,113.89,42.88,2,9,6,-2.2,7.75,-1,4,T
54686904,small molecule,FALSE,Y,0.66,-3.1,585.6487,585.2798632,205.76,159.34,61.77,7,11,7,0.25,8.76,0,4,T
